0,Sample,Sample,0,0,Sample,0
0,RoscislawaKwiatkowska@jourrapide.com,Roscislawa,70100258683,696724674,Kwiatkowska,0
1,AnastazjaKrol@fleckens.hu,Anastazja,63010992022,691270901,Krol,1
2,LubomierzWozniak@rhyta.com,Lubomierz,71101321116,607064494,Wozniak,2
3,LudmitaZielinska@armyspy.com,Ludmita,46051280321,725340907,Zielinska,3
4,MieszkoZajac@superrito.com,Mieszko,42111642696,532578375,Zajac,4
5,HendrychTomaszewski@fleckens.hu,Hendrych,73012594993,608749208,Tomaszewski,5
6,WieslawKwiatkowski@superrito.com,Wieslaw,43022199116,722162153,Kwiatkowski,6
7,FelicjaKozlowska@dayrep.com,Felicja,95100989166,606126535,Kozlowska,7
8,RutaJablonska@rhyta.com,Ruta,86021107801,532672089,Jablonska,8
9,JulitaSokolowska@armyspy.com,Julita,88030309520,692149550,Sokolowska,9
10,LudmitaKwiatkowska@cuvox.de,Ludmita,98030829063,788557755,Kwiatkowska,10
11,EliaszOstrowski@dayrep.com,Eliasz,62071965970,665836627,Ostrowski,11
12,WiktoriaDuda@jourrapide.com,Wiktoria,83062873083,513382142,Duda,12
13,HajnrichGrabowski@cuvox.de,Hajnrich,89042142459,674525134,Grabowski,13
14,MieczyslawaKalinowska@fleckens.hu,Mieczyslawa,37112510808,661307797,Kalinowska,14
15,EustachyNowakowski@fleckens.hu,Eustachy,48022618012,886686473,Nowakowski,15
16,WladyslawaMajewska@superrito.com,Wladyslawa,64101798664,724067996,Majewska,16
17,AureliuszJablonski@superrito.com,Aureliusz,86031782056,667033947,Jablonski,17
18,NadziejaWojciechowska@dayrep.com,Nadzieja,81060997446,724711428,Wojciechowska,18
19,JanekWieczorek@jourrapide.com,Janek,39112381572,784633975,Wieczorek,19
20,SewerynPiotrowski@teleworm.us,Seweryn,41011162857,518968856,Piotrowski,20
21,KunegundaZawadzka@jourrapide.com,Kunegunda,83092093802,781028905,Zawadzka,21
22,DobroslawaTomaszewska@jourrapide.com,Dobroslawa,61060410923,799097211,Tomaszewska,22
23,SewerynBorkowski@jourrapide.com,Seweryn,83102022293,608685950,Borkowski,23
24,FranciszekWisniewski@jourrapide.com,Franciszek,58013152133,885791058,Wisniewski,24
25,LucynaZielinska@superrito.com,Lucyna,87063001708,536800925,Zielinska,25
26,WlodzislawKaczmarek@superrito.com,Wlodzislaw,90111085010,883016471,Kaczmarek,26
27,JuliuszSzczepanski@dayrep.com,Juliusz,79031198055,676206966,Szczepanski,27
28,GrazynaMichalska@jourrapide.com,Grazyna,74112979204,699104708,Michalska,28
29,RoksanaDabrowski@superrito.com,Roksana,70021942421,699025285,Dabrowski ,29
30,ZdzislawJaworski@jourrapide.com,Zdzislaw,66101387994,533329557,Jaworski,30
31,WislawaMichalska@cuvox.de,Wislawa,48021005084,534570670,Michalska,31
32,KseniaZielinska@cuvox.de,Ksenia,69030441483,729921576,Zielinska,32
33,AdriannaWysocka@armyspy.com,Adrianna,38020598364,536834874,Wysocka,33
34,KseniaMajewska@einrot.com,Ksenia,86052485240,882086890,Majewska,34
35,KingaKozlowska@teleworm.us,Kinga,78011699601,725930451,Kozlowska,35
36,LudmitaNowicka@teleworm.us,Ludmita,42041499342,793539661,Nowicka,36
37,SwietoslawPawlowski@superrito.com,swietoslaw,42041244270,608790870,Pawlowski,37
38,TadzioKucharski@armyspy.com,Tadzio,79021186936,884709012,Kucharski,38
39,LonginSawicki@gustr.com,Longin,71062195331,692000892,Sawicki,39
40,DawidPiotrowski@fleckens.hu,Dawid,98031046175,532309684,Piotrowski,40
41,KorneliDabrowski@jourrapide.com,Korneli,48041967454,797418236,Dabrowski ,41
42,DawidJaworski@gustr.com,Dawid,50111314679,519072081,Jaworski,42
43,FranciszkaWojciechowska@gustr.com,Franciszka,79060588405,518538790,Wojciechowska,43
44,JowitaSawicka@cuvox.de,Jowita,42011536703,601763380,Sawicka,44
45,NikiforPawlak@armyspy.com,Nikifor,50071074839,514947015,Pawlak,45
46,LucjaKrol@superrito.com,lucja,96082603882,699811666,Krol,46
47,BenedyktNowak@dayrep.com,Benedykt,37071940571,534788291,Nowak ,47
48,MiloslawKrol@superrito.com,Miloslaw,80060803854,696449201,Krol,48
49,AugustynaBorkowska@superrito.com,Augustyna,76082737747,886129016,Borkowska,49
50,SalomeaWysocka@gustr.com,Salomea,70090569066,674124095,Wysocka,50
51,LucjanKucharski@gustr.com,Lucjan,42111282294,668911798,Kucharski,51
52,PatrycjaMaciejewska@cuvox.de,Patrycja,64091786542,539340199,Maciejewska,52
